조건,승률%,N,평균손익%
vix ≥ 21.6,92.7,109,17.97
vix ≥ 21.6,92.7,109,17.97
ticker_pct_ma20 ≥ 24.5,90.7,107,14.38
ticker_pct_ma20 ≥ 25.5,89.9,99,14.63
ticker_pct_ma20 ≥ 25.5,89.9,99,14.63
vix ≥ 18.5,88.4,129,18.44
ticker_pct_ma20 ≥ 15.5,86.6,134,12.29
mstr_pct_ma20 < -1.7,86.2,65,16.92
vix ≥ 17.2,86.0,179,14.62
qqq_rsi14 ≥ 71.3,85.1,67,3.61
btc_rsi14 < 61.1,85.1,161,13.19
mstr_pct_ma20 < -1.2,84.9,73,15.32
vix ≥ 16.7,84.3,198,13.34
mstr_pct_ma20 < 1.6,82.9,129,10.93
vix ≥ 16.5,82.9,228,11.54
btc_rsi14 < 73.2,82.7,191,11.15
btc_pct_ma20 < 4.3,82.3,192,9.88
mstr_pct_ma20 < 3.2,82.1,145,10.5
ticker_rsi14 ≥ 68.1,82.0,128,9.0
ticker_rsi14 ≥ 59.9,81.7,208,8.51
ticker_rsi14 ≥ 57.6,81.6,217,8.15
btc_regime < 1.0,81.6,76,10.24
ticker_rsi14 ≥ 67.4,81.3,134,8.7
ticker_pct_ma20 ≥ 9.9,81.2,160,9.69
btc_rsi14 < 75.9,80.5,226,10.73
qqq_rsi14 < 59.7,80.4,97,11.35
ticker_rsi14 ≥ 60.0,80.0,160,8.13
ticker_rsi14 < 73.7,79.8,213,9.85
qqq_rsi14 ≥ 69.3,79.7,153,6.35
ticker_pct_ma20 ≥ -8.3,79.5,254,8.09
qqq_rsi14 ≥ 68.3,79.3,169,5.7
btc_regime < 2.0,79.2,106,8.89
btc_regime < 2.0,79.2,106,8.89
btc_regime < 2.0,79.2,106,8.89
btc_regime < 2.0,79.2,106,8.89
btc_regime < 2.0,79.2,106,8.89
btc_rsi14 < 60.3,79.1,115,8.53
ticker_rsi14 < 68.3,79.1,187,10.4
btc_rsi14 < 53.4,78.9,95,9.55
btc_pct_ma20 < 1.1,78.4,97,7.01
vix ≥ 16.4,78.4,264,8.48
btc_rsi14 < 77.7,78.3,258,8.6
qqq_rsi14 ≥ 66.8,77.8,194,4.94
qqq_rsi14 < 70.4,77.3,220,9.65
ticker_pct_ma20 < 4.3,77.2,79,8.37
ticker_pct_ma20 ≥ 4.3,77.1,188,6.81
btc_pct_ma20 < 4.7,77.0,226,6.79
btc_pct_ma20 < 3.8,76.9,143,5.34
btc_pct_ma20 ≥ 0.3,76.9,286,6.81
btc_pct_ma20 < 3.1,76.6,128,5.24
mstr_pct_ma20 < 11.3,76.5,221,7.16
btc_rsi14 ≥ 51.0,76.4,284,6.58
qqq_rsi14 ≥ 48.2,76.4,296,6.21
mstr_pct_ma20 < 5.1,76.3,194,6.43
btc_pct_ma20 < 6.3,75.7,251,6.44
mstr_pct_ma20 ≥ 13.8,75.7,74,5.66
btc_regime ≥ 0.0,75.5,323,6.45
mstr_pct_ma20 < 13.8,75.5,249,6.69
btc_pct_ma20 ≥ 6.3,75.0,72,6.51
btc_pct_ma20 ≥ 3.1,74.9,195,7.25
btc_pct_ma20 ≥ 3.8,74.4,180,7.34
mstr_pct_ma20 ≥ 5.1,74.4,129,6.49
btc_pct_ma20 ≥ 1.1,74.3,226,6.22
btc_rsi14 ≥ 53.4,74.1,228,5.17
btc_regime ≥ 2.0,73.7,217,5.27
btc_regime ≥ 1.0,73.7,247,5.29
btc_regime ≥ 2.0,73.7,217,5.27
btc_regime ≥ 2.0,73.7,217,5.27
btc_regime ≥ 2.0,73.7,217,5.27
btc_regime ≥ 2.0,73.7,217,5.27
btc_rsi14 ≥ 60.3,73.6,208,5.3
mstr_pct_ma20 ≥ 11.3,73.5,102,4.93
qqq_rsi14 ≥ 59.7,73.5,226,4.35
qqq_rsi14 < 71.3,73.0,256,7.2
mstr_pct_ma20 ≥ -1.7,72.9,258,3.82
ticker_rsi14 < 67.4,72.9,133,5.84
ticker_rsi14 < 60.0,72.9,107,5.99
mstr_pct_ma20 ≥ -1.2,72.8,250,3.87
ticker_rsi14 < 68.1,72.7,139,5.69
ticker_rsi14 ≥ 68.3,72.5,80,-0.04
btc_pct_ma20 ≥ 4.7,72.2,97,5.67
qqq_rsi14 < 66.8,72.1,129,8.73
qqq_rsi14 ≥ 70.4,71.8,103,-0.38
qqq_rsi14 < 69.3,71.8,170,6.55
qqq_rsi14 < 68.3,71.4,154,7.28
ticker_pct_ma20 < 9.9,71.0,107,3.66
mstr_pct_ma20 ≥ 1.6,70.6,194,3.48
mstr_pct_ma20 ≥ 3.2,70.2,178,3.16
ticker_pct_ma20 < 25.5,69.6,168,2.94
ticker_pct_ma20 < 25.5,69.6,168,2.94
btc_rsi14 < 51.0,69.2,39,5.53
ticker_pct_ma20 < 24.5,68.1,160,2.52
ticker_pct_ma20 < 15.5,67.7,133,2.22
vix < 18.5,67.0,194,-1.52
vix < 21.6,66.8,214,0.59
vix < 21.6,66.8,214,0.59
ticker_rsi14 ≥ 73.7,66.7,54,-2.89
